,fields
4218,s1000cz
2464,s1000d
2927,s1000e
11855,s1000ea
12344,s1000eb
12066,s1000ec
3911,s1000ed
16410,s1000ee
11455,s1000ef
15021,s1000ex
18538,s1000ez
11825,s1001
11672,s1001a
21789,s1001aa
16456,s1001ab
20849,s1001ac
12409,s1001ad
7627,s1001ae
16351,s1001af
2095,s1001ag
1093,s1001ah
9622,s1001ai
14023,s1001aj
7100,s1001ak
469,s1001ax
15971,s1001az
12625,s1001b
8442,s1001ba
17612,s1001bb
2894,s1001bc
1792,s1001bd
4069,s1001be
6263,s1001bf
13041,s1001bg
1774,s1001bh
11969,s1001bi
17175,s1001bj
6446,s1001bk
10058,s1001bx
3309,s1001bz
1533,s1001c
11806,s1001d
9468,s1001e
9987,s1001f
18914,s1001g
16461,s1001h
11846,s1001i
17236,s1001j
13800,s1001k
15636,s1001s
17399,s1001sa
8502,s1002
15819,s1002a
15161,s1002aa
3653,s1002ab
11646,s1002ac
19547,s1002ad
16532,s1002ae
5941,s1002af
21042,s1002ag
19727,s1002ah
19485,s1002ai
19022,s1002aj
4252,s1002ak
4007,s1002ax
4775,s1002az
6817,s1002b
21725,s1002ba
748,s1002bb
18812,s1002bc
1479,s1002bd
19497,s1002be
13397,s1002bf
18841,s1002bx
9490,s1002bz
8887,s1002c
2216,s1002ca
3724,s1002cb
10576,s1002cc
3248,s1002cd
2465,s1002ce
1852,s1002cf
16466,s1002cg
11822,s1002ch
2621,s1002ci
11520,s1002cx
5322,s1002cz
8541,s1002d
4393,s1002e
11178,s1002f
14347,s1002g
13600,s1002h
8693,s1002i
18626,s1002j
10143,s1002k
19298,s1002l
2846,s1002m
21791,s1002x
7982,s1002y
14823,s1002z
10334,s1003
317,s1003a
16272,s1003b
6512,s1003c
10938,s1003d
7784,s1003e
11582,s1003ea
7146,s1003eb
20665,s1003ec
15249,s1003ed
14222,s1003ee
5979,s1003ef
13053,s1003eg
3383,s1003ex
14610,s1003f
5699,s1003g
276,s1003h
5061,s1003i
16941,s1003j
6603,s1003k
14606,s1003l
3914,s1003m
20816,s1003x
11217,s1003y
10737,s1003z
19106,s1004
6716,s1004a
19639,s1004a2
15533,s1004an
15456,s1004b
12500,s1004b2
3164,s1004ba
2342,s1004bb
9486,s1004bc
14220,s1004bd
1397,s1004be
12421,s1004bf
14975,s1004bg
18924,s1004bh
17981,s1004bi
16040,s1004bj
12450,s1004bn
19967,s1004bx
9288,s1004by
12359,s1004bz
15411,s1004c
19664,s1004ca
11311,s1004cb
15502,s1004cc
17324,s1004cd
16340,s1004ce
4206,s1004cf
3002,s1004cg
17914,s1004ch
9599,s1004ci
15968,s1004cj
9008,s1004ck
2931,s1004cl
700,s1004cm
10772,s1004cn
3100,s1004cx
15958,s1004cz
15458,s1004d
2457,s1004e
1760,s1004f
16264,s1004g
16290,s1004h
20389,s1004i
19584,s1004j
20641,s1004k
16420,s1004n
8575,s1004x
19945,s1004z
10848,s1005
16767,s1005a
6645,s1005aa
7180,s1005ab
14753,s1005ac
19818,s1005ad
11473,s1005ae
21814,s1005af
20201,s1005ag
13345,s1005an
17282,s1005ax
16191,s1005az
14079,s1005b
8920,s1005b1
21525,s1005b2
13656,s1005b3
11143,s1005b4
20593,s1005b5
4544,s1005b6
4610,s1005b7
18929,s1005b8
2703,s1005b9
358,s1005bn
18014,s1005c
11014,s1005cn
17135,s1005d
515,s1005dn
8938,s1005e
16373,s1005en
12254,s1005fn
9848,s1005g
7577,s1005gn
16555,s1005hn
11338,s1005in
16646,s1005n
688,s1006
3823,s1006a
13036,s1006b
12187,s1006c
15695,s1006d
12007,s1006e
5325,s1006f
6687,s1006g
3683,s1006h
8131,s1006i
4110,s1006j
6941,s1006k
11918,s1006l
9241,s1006m
3274,s1006s
18594,s1006sa
16412,s1006x
1060,s1006z
1716,s1007
5521,s1007a
9773,s1007b
7890,s1007ba
17043,s1007bb
8055,s1007bx
1192,s1007c
21628,s1007ca
18269,s1007cb
21546,s1007d
6516,s1007e
10950,s1007f
12917,s1007g
18,s1007h
18853,s1007i
6140,s1007ia
1738,s1007ib
4750,s1007ic
2897,s1007id
18333,s1007ie
14351,s1007if
7345,s1007ix
17555,s1007iz
18381,s1007j
3203,s1007k
283,s1007ka
7299,s1007kb
9057,s1007kc
